id	en	zh
ezaki2000pen	Tablet handwriting is recognized as Japanese text; spoken candidates support selection, rewriting and editing.	平板手写识别生成日文文字，通过语音播报候选，支持选择、重写与编辑。
luk2000digital	Six-key Braille codes become Chinese search queries, with character, word-prefix and sentence input.	六键盲文编码转换为中文检索式，支持单字、词前缀和句子输入。
lin2006design	A chorded on-screen keyboard supports Chinese phonetic and shape-code layouts; the reported copy-typing task uses English.	和弦式屏幕键盘支持中文注音及形码布局；文中报告的抄录任务使用英文。
lin2008designing	A scanning keyboard includes two Chinese layouts. The language used in the experimental article is not clearly specified.	扫描式键盘包含两种中文布局，但实验所用文章的语言未明确说明。
fu2009fast	Coordinate gestures select Zhuyin symbols, tones and Chinese candidates; entered text can be spoken aloud.	坐标手势用于选择注音符号、声调和汉字候选，输入的文字可通过语音朗读。
kotani2010japanese	Gaze operates three Japanese input layouts for kana and Kanji. NIRS measures responses during evaluation rather than controlling input.	眼动操控三种日文输入布局，输入假名和汉字；近红外测量用于评估，并非输入控制通道。
minett2010assistive	A brain interface selects traditional Chinese characters, radicals and strokes. Complete large-vocabulary entry is proposed rather than demonstrated.	脑机界面选择繁体汉字、部件和笔画；完整的大字库输入是提出的目标，尚未实际展示。
wang2010accurate	Mandarin Braille paragraphs are translated into simplified Chinese for a proposed input method for blind users.	将汉语盲文段落转换为简体中文，服务于面向盲人的输入法。
kotani2011proficiency	Eye-controlled Japanese input is evaluated with mixed kana–Kanji passages; clinical accounts also describe names and lyrics.	通过含假名与汉字的段落评估眼控日文输入，临床使用记录还涉及姓名和歌词。
wu2012text	Students with learning disabilities enter traditional Chinese by assembling Zhuyin phonetic symbols.	有学习障碍的学生通过组合注音符号输入繁体中文。
hamano2013usability	Older adults use smartphone methods for Japanese kana or English entry; Kanji conversion is not evaluated.	老年用户使用智能手机输入日文假名或英文，研究未评估汉字转换。
miura2014usage	Questionnaires document touchscreen text entry among visually impaired Japanese users, including keyboards and speech input.	问卷记录日本视障用户的触屏文字输入情况，包括屏幕键盘、实体键盘与语音输入。
shoji2014japanese	Life-log information is proposed for prediction in gaze-based Japanese entry; prediction experiments use examples and simulated priorities.	利用生活日志辅助眼控日文输入的预测，预测实验采用示例及模拟优先级。
zhou2014older	Older adults enter Chinese messages on phones and tablets; the study examines device size, input method and task completion.	老年用户在手机和平板上输入中文信息，研究考察设备尺寸、输入方式与任务完成情况。
lin2015designs	Scalp electrical signals control scanning selection of Zhuyin symbols. The reported output is phonetic symbols rather than selected Han characters.	头皮电信号控制扫描选择注音符号；报告的输出为注音符号，尚非经候选选择后的汉字。
tang2015touch	Six-dot touchscreen Braille is matched to Chinese phonetic symbols and words for messaging, with audio confirmation and editing controls.	触屏六点盲文匹配中文注音符号与词语，用于短信输入，并提供语音确认和编辑功能。
wang2015preliminary	Instruction combines screen-reader feedback and tactile character structure to teach Chinese phonetic and shape-based input methods.	教学结合屏幕朗读反馈和可触摸的汉字结构，帮助学习中文注音及形码输入法。
xie2017attitude	Older adults use their preferred keyboard, handwriting or speech methods for mixed-content Chinese messages; difficulties include rewriting and switching.	老年用户以习惯的键盘、手写或语音方式输入含多种字符的中文消息，研究记录重写与切换等困难。
jabeen2018sak	A scanning interface moves from consonants and syllables to Chinese candidates, with association, deletion and speech playback.	扫描界面依次选择声母、音节和汉字候选，并提供联想、删除与语音播放。
jabeen2019modeling	Initial and syllable selection produces Chinese candidates; a character language model ranks replacements within sentences.	通过声母和音节选择生成汉字候选，字符语言模型对句中的替换候选进行排序。
liao2019enabling	A longitudinal teaching study uses screen-reader support for Chinese keyboard typing and information search, including Zhuyin and Boshiamy methods.	纵向教学研究利用屏幕朗读支持中文键盘输入与信息检索，涉及注音和嘸蝦米输入法。
lv2019brain	A brain-controlled Pinyin interface selects initials, finals, tones and Han candidates across successive displays.	脑控拼音界面在连续界面中选择声母、韵母、声调和汉字候选。
shi2019vipboard	Vipboard corrects Pinyin entry before Chinese conversion and supports candidate gestures. Its reported speed excludes Han-candidate selection time.	Vipboard 在中文转换前纠正拼音输入，并支持候选操作手势；其报告速度不包含汉字候选选择时间。
yu2019asynchronous	EEG spelling is activated by triple blinks, while double blinks select predicted Chinese characters.	三次眨眼激活脑电拼写，双次眨眼用于选择预测汉字。
han2020write	Brain-controlled coordinate selections guide a robot to draw the strokes of 福. The output is a physical glyph, not editable encoded text.	脑控坐标选择引导机器人绘制“福”的笔画；输出是物理字形，并非可编辑的编码文字。
wang2020effects	Younger and older users enter traditional Chinese on handheld devices using Zhuyin or handwriting, under timed task conditions.	年轻和年长用户在限时任务中，通过注音或手写在手持设备上输入繁体中文。
sun2022design	Six Braille keys are stored as Unicode Braille, mapped through Pinyin and converted to Chinese text for the clipboard.	六键盲文先存储为 Unicode 盲文符号，经拼音映射转换为中文，再输出到剪贴板。
weng2022establishment	Audio descriptions and structured learning materials teach congenitally blind learners to enter traditional Chinese using Boshiamy shape codes.	通过语音描述及结构化教材，教授先天盲人以嘸蝦米形码输入繁体中文。
young2023enabling	Screen-reader-supported Chinese typing and web search are used in literacy learning; this report does not specify the underlying input method.	研究将屏幕朗读支持的中文输入与网页检索用于识字学习；本篇未明确所用输入法。
chen2024handwriting	Finger and stylus handwriting are compared across input-box sizes. The evaluated task is single-character recognition and rewriting.	比较不同输入框尺寸下的手指与触笔手写，评估任务为单字识别及重写。
nonoka2024study	Wearable gaze control selects Japanese consonant and vowel groups, with kana modifiers, deletion and spoken feedback.	可穿戴眼控系统选择日文辅音与元音组，并提供假名修饰、删除及语音反馈。
ahn2025rectus	Leg-muscle EMG triggers cursor and selection commands on a Cheonjiin keyboard to compose Hangul syllables.	腿部肌电触发 Cheonjiin 键盘的光标与选择命令，用于组合 Hangul 音节。
liu2025influence	Older adults enter Chinese strings using Pinyin keyboards or handwriting; character complexity and method are examined through time, accuracy and deletion.	老年用户通过拼音键盘或手写输入中文字符串，研究以时间、准确率及删除操作考察字形复杂度与输入方式。
fukushima2000online	Continuous handwritten Japanese is jointly segmented and recognized using shape, character size and contextual likelihoods in a candidate lattice.	通过候选词格，联合利用字形、字符尺寸和上下文概率，对连续日文手写进行分割与识别。
ichimura2000kana	Partial kana input predicts Kanji strings; accepted phrases are learned into a prioritized personal dictionary.	依据部分假名预测汉字字符串，并将用户接受的短语学习到优先使用的个人词典中。
tokuno2002context	Handwritten Kanji trajectories are decoded using context-dependent substroke HMMs. Context refers to adjacent substrokes, not sentence meaning.	使用依赖上下文的子笔画隐马尔可夫模型解码汉字手写轨迹；上下文指相邻子笔画，并非句意。
ren2003candidate	Romaji-to-Kanji input is used to compare candidate-list presentation and paging, with selection and repair timed separately.	通过罗马字转汉字任务比较候选列表呈现与翻页方式，并分别计量选择和修正时间。
houser2004japanese	Japanese entry speeds are compared across devices using equivalent Romaji keystrokes; these rates are not direct Kanji-per-minute measures.	以等效罗马字按键数比较不同设备的日文输入速度，该指标并非直接的每分钟汉字数。
huang2004statistical	A statistical decoder converts Hangeul into mixed Hanja and Hangeul, jointly handling word boundaries and whether a term should be converted.	统计解码器将 Hangeul 转为 Hanja 与 Hangeul 混合文字，同时处理词界及词语是否需要转换。
sato2004menu	Stylus menus enter consonants; optional vowels narrow Japanese candidates, while dictionaries provide completion and next-word prediction.	触笔菜单输入辅音，可补充元音缩小日文候选范围，词典支持补全及后续词预测。
komatsu2005corpus	Text observed in documents supplies compound-word completions, ranked using the current context and typed pronunciation prefixes.	从文档中观察到的文本提供复合词补全，并结合当前上下文及已输入的读音前缀排序。
araki2006evaluation	Kana–Kanji candidates are checked by converting them back to spoken readings; semantic patterns are also used to detect homonym errors.	将假名转汉字候选还原为语音读音进行核查，并使用语义模式检测同音词转换错误。
araki2006evaluationb	Markov models segment unspaced kana and generate mixed Kanji–kana candidates; word boundaries and conversion correctness are evaluated.	马尔可夫模型分割无空格假名并生成汉字与假名混合候选，评估词界与转换正确性。
doo2006korean	One-handed chording selects Hangul initials, vowels and final consonants through a syllable-structured key mapping.	单手和弦按键依据音节结构映射，选择 Hangul 声母、元音和韵尾。
itoh2006comparative	Two gaze interfaces are compared on hiragana communication phrases. The experiment does not evaluate kana–Kanji conversion.	以平假名交流短语比较两种眼控界面，实验不涉及假名转汉字的评估。
ota2007online	An inter-stroke grammar recognizes isolated Kanji trajectories and accommodates alternate stroke orders.	笔画间语法识别单个汉字的手写轨迹，并支持不同笔顺。
sakurada2007japanese	Free-form ink can be segmented, merged and recognized on demand; users then select handwriting or kana–Kanji conversion candidates.	自由手写墨迹可按需分割、合并及识别，用户随后选择手写识别或假名转汉字候选。
sano2007recognition	Online brush trajectories are matched against hiragana templates, illustrated with recognition of あ.	在线毛笔轨迹与平假名模板匹配，文中以识别“あ”为例。
tonouchi2007text	Overlapping hiragana handwriting is recognized stroke by stroke, with gestures for deletion, kana–Kanji conversion and commitment.	重叠书写的平假名按笔画识别，并用手势执行删除、假名转汉字和提交。
ehara2008multilingual	Automatic language detection switches between language-specific input engines, including Japanese and Chinese conversion back ends.	自动语言检测在不同语言的输入引擎间切换，其中包括日文和中文转换后端。
go2008itone	Dual joysticks select a Japanese syllabary column and vowel row; releasing commits the character. Conversion exists but is not fully evaluated.	双摇杆分别选择日语音节表的列和元音行，释放后提交字符；系统具有转换功能，但未进行完整评估。
ilinkin2008design	A twelve-key mobile layout combines consonant multi-tap with shape-based vowel composition for Hangul entry.	十二键手机布局结合辅音多击与基于形状的元音组合，实现 Hangul 输入。
mladenov2008integrated	A Japanese word processor combines keyboard entry with dictionary and radical lookup. Stroke-order pictures teach writing; handwriting recognition is not implemented.	日文文字处理器结合键盘输入、词典及部首查找；笔顺图片用于教学，未实现手写识别。
miyao2009writer	Virtual examples adapt an online hiragana recognizer to individual writers using separately held-out handwriting samples.	通过虚拟样本使在线平假名识别器适应不同书写者，并以独立留出的手写样本评估。
shin2009multi	One- and two-finger button actions are compared for Hangul composition in an image-based interface mockup.	在基于图像的界面模型中，比较单指与双指按键操作的 Hangul 组合方式。
ilinkin2010evaluation	A user study compares Korean mobile keypad methods; reported character-based rates refer to component letters rather than whole Hangul syllables.	用户研究比较韩文手机键盘输入法，报告的字符速率针对组成字母，并非完整 Hangul 音节。
kato2010kana	A word-based Markov model converts unsegmented kana into mixed Kanji–kana text, evaluated at sentence, word and character levels.	词级马尔可夫模型将未分词假名转换为汉字与假名混合文本，并在句、词和字符层面评估。
kimioka2011niboshi	Multi-touch Japanese entry supports kana and predictive Kanji conversion; eyes-free operation concerns the keys rather than hidden text feedback.	多点触控日文输入支持假名及预测性汉字转换；免视操作针对按键，文字反馈仍然可见。
ikegami2012modeless	Sequence features distinguish Japanese and ASCII input and map ASCII to kana. Kanji conversion is a proposed downstream step.	序列特征区分日文与 ASCII 输入，并将 ASCII 映射为假名；汉字转换属于提出的后续环节。
fukatsu2013look	Single-handed flick gestures enter kana for short notes without looking at the keys; the study does not test Kanji conversion.	单手滑动手势在不看按键的情况下输入短假名笔记，研究未测试汉字转换。
go2013designing	EdgeWrite corner paths encode Japanese phonograms, principally katakana, using stroke order and spatial structure.	EdgeWrite 利用笔顺与空间结构，通过角点路径编码日语表音字符，主要为片假名。
kim2013hybrid	A hybrid evaluation compares mobile Hangul input using rehearsed sentences; trials stop when an error occurs.	混合评估使用预先练习的句子比较手机 Hangul 输入，出现错误即终止试次。
wu2013web	Web-mined compounds and phrases expand Japanese kana–Kanji conversion; cloud candidates are placed ahead of local candidates.	从网页挖掘复合词与短语以扩展日文假名转汉字，云端候选排在本地候选之前。
ashitaka2014acquisition	Hierarchical typing practice links Japanese kana words to Romaji key sequences; actual conversion candidates are not displayed.	分层打字练习将日文假名词与罗马字按键序列关联，实验不显示实际转换候选。
higashida2015one	Numeric sequences retrieve Japanese words, names and addresses, with candidate display used to resolve ambiguity.	数字序列检索日文词语、姓名及地址，通过候选呈现消除歧义。
ikegami2015hybrid	N-gram classification and a dictionary distinguish ASCII from kana during mixed Japanese typing, before Kanji conversion.	在混合日文输入中，使用 N 元模型分类与词典区分 ASCII 和假名，再进入汉字转换环节。
matsuhara2015efficient	A photo attached to a kana-based tweet helps rerank Kanji candidates using similarity to retrieved Twitter images.	利用假名推文所附照片与检索到的 Twitter 图片之间的相似度，重新排列汉字候选。
park2015enhanced	Different sounds provide feedback for Korean touchscreen typing; sentence transcription is tested with automatic completion and correction disabled.	为韩文触屏输入提供不同声音反馈，在关闭自动补全和自动纠错的条件下测试句子抄录。
lee2016complete	A smartwatch interface constructs Hangul from initial consonants, vowels and final consonants through expandable, frequency-ordered choices.	智能手表界面以可展开、按频率排列的选项，逐步选择声母、元音和韵尾构成 Hangul。
han2017mid	Mid-air gestures select consonants and vowels on a large display to compose Hangul, without a head-mounted display.	通过空中手势选择大屏幕上的辅音和元音，组合 Hangul，系统不使用头戴显示器。
ikegami2017flick	A Japanese mobile IME uses word segmentation and recurrent language modeling to predict the next word from the current input and history.	日文手机输入法通过分词及循环语言模型，结合当前输入和历史词语预测后续词。
ilinkin2017evaluation	Repeated smartwatch transcription compares Korean entry methods, with corrections deleting individual letters rather than whole syllable blocks.	通过重复的智能手表抄录任务比较韩文输入法，纠错时删除单个字母，而非整个音节块。
shin2017non	Kinect detects mid-air tapping to enter hiragana or English, with controls for modifiers, deletion, spacing and character-set changes.	Kinect 检测空中拍击以输入平假名或英文，并支持修饰符、删除、空格及字符集切换。
nguyen2018online	Recurrent networks recognize recorded Japanese handwriting trajectories as characters or text lines; no interactive candidate interface is evaluated.	循环网络将记录的日文手写轨迹识别为字符或文本行，研究未评估交互式候选界面。
takei2018button	A two-by-six-button tablet keyboard enters kana, special characters and controls without kana–Kanji conversion.	二乘六按键的平板键盘用于输入假名、特殊字符及控制命令，不包含假名转汉字。
tojo2018bubbleflick	Directional flicks on a circular smartwatch keyboard select kana; a central area controls cursor movement and deletion.	在环形智能手表键盘上以方向滑动选择假名，中央区域用于光标移动与删除。
tanaka2019micro	Sliding chooses a Japanese syllabary row and tapping chooses its vowel position to enter hiragana on a small touch surface.	在小型触控面上，先滑动选择日语音节行，再点击选择元音位置，输入平假名。
toba2019efficient	A smartwatch interface repairs Japanese speech-recognition errors using candidate and keyboard operations; re-dictation is prohibited in the test.	智能手表界面通过候选及键盘操作修正日语语音识别错误，测试中禁止重新口述。
nakamura2020japanese	A bimanual tablet keyboard combines kana flick entry with dictionary-based Kanji conversion and a dedicated candidate area.	双手平板键盘结合假名滑动输入、基于词典的汉字转换及专门的候选区域。
sato2020homonym	Word-sense clustering normalizes Japanese homonyms for an offline kana–Kanji conversion module.	通过词义聚类规范日文同音词，用于离线假名转汉字模块。
nakamura2021bimanual	Common-use Kanji can be selected directly; other Kanji and katakana remain accessible through a conversion area.	常用汉字可直接选择，其他汉字及片假名仍可通过转换区域输入。
takahashi2021japanese	A VR flick interface enters hiragana and displays the sentence; Kanji-candidate conversion is not evaluated.	VR 滑动界面输入平假名并显示句子，未评估汉字候选转换。
yokoyama2021joyflick	Two joysticks and modifier buttons produce Japanese kana. IME integration and VR use are discussed as future extensions.	两个摇杆与修饰按键用于输入日文假名，接入输入法和 VR 使用属于讨论中的后续扩展。
ikegami2024fast	A Japanese mobile IME provides recurrent-model word prediction and conversion candidates, compared with Mozc on input time and key actions.	日文手机输入法提供循环模型词预测及转换候选，并与 Mozc 比较输入时间和按键操作。
sarhangzadeh2024alignment	An alignment-based policy incrementally converts kana into Japanese written text while controlling when the decoder reads and writes.	基于对齐的策略控制解码器读取与输出时机，将假名逐步转换为日文书面文本。
wada2025flick	A bezel swipe and indirect touch select Japanese kana on a watch. The illustrated Kanji-conversion extension was not implemented or evaluated.	通过表框滑动和间接触控在手表上选择日文假名，图示的汉字转换扩展尚未实现或评估。
