id	ja	ko
ezaki2000pen	タブレットの手書きを日本語として認識し、音声候補で選択・書き直し・編集を支援する。	태블릿 필기를 일본어로 인식하고 음성 후보로 선택, 다시 쓰기, 편집을 지원한다.
luk2000digital	6キーの点字符号を中国語検索式に変換し、文字・語頭・文の入力に対応する。	6키 점자 코드를 중국어 검색어로 변환하며 글자, 단어 접두부, 문장 입력을 지원한다.
lin2006design	コード式画面キーボードは中国語の表音・字形配列を備えるが、報告された転記課題は英語である。	화음식 화면 키보드는 중국어 표음·형태 배열을 지원하지만 보고된 베껴 쓰기 과제는 영어이다.
lin2008designing	走査式キーボードは中国語配列を2種類備える。実験文章の言語は明記されていない。	스캐닝 키보드는 중국어 배열 두 가지를 갖추지만 실험 문서의 언어는 명확하지 않다.
fu2009fast	座標ジェスチャーで注音・声調・漢字候補を選択し、入力文を音声で読み上げる。	좌표 제스처로 주음, 성조, 한자 후보를 선택하며 입력 문장을 음성으로 읽을 수 있다.
kotani2010japanese	視線で3種類の日本語配列を操作する。NIRSは評価測定であり入力信号ではない。	시선으로 세 가지 일본어 배열을 조작한다. NIRS는 평가 측정이며 입력 신호가 아니다.
minett2010assistive	脳インタフェースで繁体字・部品・筆画を選択する。大語彙の完全な入力は構想段階である。	뇌 인터페이스로 번체자, 부품, 획을 선택한다. 대규모 어휘의 완전한 입력은 제안 단계이다.
wang2010accurate	中国語点字の段落を簡体字に変換し、視覚障害者向け入力法への応用を目指す。	중국어 점자 문단을 간체자로 변환하여 시각장애인용 입력기에 활용한다.
kotani2011proficiency	仮名漢字混じり文で視線入力を評価する。臨床利用の記録には名前や歌詞も含まれる。	가나·한자 혼합 문장으로 시선 입력을 평가하며 임상 사용 기록에는 이름과 가사도 포함된다.
wu2012text	学習障害のある児童が注音記号を組み合わせて繁体字を入力する。	학습장애가 있는 학생이 주음 기호를 조합하여 번체자를 입력한다.
hamano2013usability	高齢者によるスマートフォンの仮名・英語入力を評価する。漢字変換は評価していない。	고령자의 스마트폰 가나·영어 입력을 평가하며 한자 변환은 평가하지 않는다.
miura2014usage	質問紙で日本の視覚障害者のタッチ画面入力を調べ、キーボードと音声入力の利用を記録する。	설문으로 일본 시각장애인의 터치 화면 입력을 조사하고 키보드와 음성 입력 사용을 기록한다.
shoji2014japanese	生活ログを視線入力の予測に利用する。予測実験には例文と模擬優先順位を用いる。	생활 로그를 시선 입력 예측에 활용하며 예측 실험은 예문과 모의 우선순위를 사용한다.
zhou2014older	高齢者の中国語メッセージ入力について、端末サイズ・入力方法・課題完了を調べる。	고령자의 중국어 메시지 입력에서 기기 크기, 입력 방식, 과제 수행을 조사한다.
lin2015designs	頭皮電気信号で注音記号を走査選択する。出力は選択済み漢字ではなく表音記号である。	두피 전기 신호로 주음 기호를 스캐닝 선택한다. 출력은 선택된 한자가 아닌 표음 기호이다.
tang2015touch	画面上の6点点字を中国語の音や語に対応させ、音声確認と編集を備えたメッセージ入力に使う。	화면의 6점 점자를 중국어 음과 단어에 대응시켜 음성 확인 및 편집 기능이 있는 메시지 입력에 사용한다.
